,JNAME,P0,DECJ,Flux,W50
376,J1052-5954,0.180591500693,-59:54:44.1,0.3663179200821875,2.3
377,J1052-6348,0.3838304235316973,-63:48:16.6,0.27411545040163693,10.0
378,J1054-5943,0.346908957903,-59:43:14.1,0.7725071784046131,4.8
379,J1054-5946,0.228324249982,-59:46:31.0,0.4983917280029762,6.7
380,J1054-6452,1.8400035413768,-64:52:37.5,0.6229896600037202,22.0
381,J1055-6022,0.9475584092665961,-60:22:52,0.4983917280029762,23.2
382,J1055-6028,0.09966083348,-60:28:37.5,2.367360708014137,2.9
383,J1055-6236,0.44863544246,-62:36:48.3,0.2990350368017857,7.3
384,J1055-6905,2.9193969868,-69:05:11.4,0.7475875920044642,39.7
385,J1056-5709,0.6760818937394011,-57:09:34.5,0.27411545040163693,16.0
386,J1056-6258,0.4224505316190333,-62:58:47.69,59.0,15.9
387,J1056-7117,0.026309676982433597,-71:17:53.394,0.8472659376050596,5.0
388,J1057-4754,0.628305878552,-47:54:57.60,NaN,20.0
389,J1057-5226,0.19711468957450884,-52:26:56.33,20.0,
390,J1057-5851,0.6203650313417567,-58:51:07,NaN,NaN
