,JNAME,P0,DECJ,Flux,W50
276,J1743-0339,0.44464510677348185,-03:39:11.4822,1.2459793200074405,6.5
277,J1743-3150,2.4145755199694583,-31:50:21.6971,7.3,7.2
278,J1744-1134,0.00407454594143919,-11:34:54.68126,7.0,13.3
279,J1745-3040,0.36743245148171566,-30:40:23.19,46.0,5.3
280,J1748-1300,0.3941333466126277,-13:00:52.0853,7.0,9.8
281,J1748-2446A,0.01156314838986,-24:46:36.9,1.5200947704090775,0.8
282,J1748-2446S,0.00611664,-24:46:45,NaN,NaN
283,J1749-3002,0.6098736486726055,-30:02:34.9246,10.217030424061011,41.7
284,J1750-2438,0.7127940367738814,-24:38:58,1.2459793200074405,9.6
285,J1750-3503,0.68401360292,-35:03:08.9,1.968647325611756,67.0
286,J1751-4657,0.7423536034382896,-46:57:26.53,15.0,7.2
287,J1752-2806,0.5625576355342506,-28:06:37.3,160.0,4.7
288,J1756-2435,0.6704799625529156,-24:35:34.3111,4.983917280029762,25.0
289,J1757-2421,0.2341057912524572,-24:22:07.4457,17.942102208107144,9.6
290,J1759-2205,0.46097412786894365,-22:05:33.0345,3.7,3.1
291,J1759-3107,1.0789533183122497,-31:07:21.5,2.2676823624135416,16.0
292,J1801-0357,0.9214906737718075,-03:57:55.0282,1.7443710480104166,11.4
293,J1801-2920,1.081908474226637,-29:20:38.5746,6.3,18.0
294,J1802-2124,0.012647593586522718,-21:24:03.649,1.9188081528114584,0.37
295,J1803-2137,0.13366692025028434,-21:37:07.351,23.922802944142855,13.1
296,J1805-1504,1.1812692298494554,-15:04:36,9.22024696805506,229.0
297,J1807-0847,0.16372737166367285,-08:47:43.27,37.0,11.8
298,J1807-2715,0.827776461518327,-27:15:02.9632,2.8,5.9
299,J1808-0813,0.8760442866771196,-08:13:01.797,4.0,9.2
300,J1808-2057,0.9184103262857551,-20:58:07.5248,6.479092464038691,76.0
301,J1809-1943,5.540742829324981,-19:43:51.9315,1.6945318752101193,150.0
302,J1809-2109,0.7024136291345919,-21:09:02.8765,2.0932452576125,13.0
303,J1810-5338,0.26104931796,-53:38:07.7,NaN,7.0
304,J1816-2650,0.5928851304388287,-26:49:53.4936,7.4,11.4
305,J1817-3618,0.38701939745435454,-36:18:04.6,7.8,8.4
306,J1817-3837,0.38448678392,-38:37:59.7,7.725071784046131,4.5
307,J1818-1422,0.2914894606391399,-14:22:36.71,26.0,103.8
308,J1819-0925,0.8520474835047593,-09:25:49.9,1.7942102208107142,20.0
309,J1820-0427,0.5980819353745133,-04:27:37.712,27.0,5.8
310,J1820-0509,0.3373207957912118,-05:09:38.5,0.6229896600037202,9.0
311,J1822-2256,1.874268518251891,-22:56:30.6089,12.0,9.7
312,J1823+0550,0.7529065430493703,05:50:24.31,4.236329688025298,10.2
313,J1823-0154,0.75977746436294,-01:54:04.5714,2.0,3.4
314,J1823-1115,0.27982869656534903,-11:15:11.2864,7.974267648047619,26.0
315,J1823-3106,0.28405434496681903,-31:06:49.7498,11.1,6.5
316,J1824-0127,2.499468267426122,-01:27:51.4,1.4702555976087797,20.0
